emoji,hexcode,group,subgroups,annotation,tags,openmoji_tags,openmoji_author,openmoji_date,skintone,skintone_combination,skintone_base_emoji,skintone_base_hexcode,unicode,order
∘ ∘ ∘ ( °ヮ° ) ?,,kaomoji,face-concerned,confused,"kaomoji, large, confusion",,,,,,,,,78
ヽ(O_O )ﾉ,,kaomoji,face-concerned,shocked hands up,"kaomoji, shock, surprise",,,,,,,,,79
( ⊙‿⊙),,kaomoji,face-concerned,what just happened,"kaomoji, shock, surprise",,,,,,,,,80
(´╹o╹` ),,kaomoji,face-concerned,oh wow,"kaomoji, admire, surprise",,,,,,,,,81
O_o,,kaomoji,face-concerned,super shocked,"kaomoji, shock, surprise",,,,,,,,,82
( ͡o ͜ʖ ͡o),,kaomoji,face-concerned,surprised lenny,"kaomoji, surprise, blank",,,,,,,,,83
Σ(ﾟﾛﾟ),,kaomoji,face-concerned,shocked shout,"kaomoji, shock, surprise, scared",,,,,,,,,85
(⊙⊙)(☉_☉)(⊙⊙),,kaomoji,face-concerned,surprised group,"kaomoji, large, shock, surprise",,,,,,,,,86
（　ﾟДﾟ）,,kaomoji,face-concerned,scared yelling,"kaomoji, scared, shout",,,,,,,,,87
('-_-),,kaomoji,face-concerned,disappointed,"kaomoji, disappoint",,,,,,,,,88
(っ- ‸ - ς),,kaomoji,face-concerned,not fat,kaomoji,,,,,,,,,89
ε-(´・｀) ﾌ,,kaomoji,face-concerned,phew,"kaomoji, relieved",,,,,,,,,90
ε=ε=┌( >_<)┘,,kaomoji,face-concerned,im outta here,"kaomoji, large, run",,,,,,,,,91
( ͠° ͟ʖ ͡° ),,kaomoji,face-neutral-skeptical,skeptical lenny,"kaomoji, skeptical, suspicious",,,,,,,,,92
(͠≖ ͜ʖ͠≖),,kaomoji,face-neutral-skeptical,knowing lenny,"kaomoji, skeptical, suspicious",,,,,,,,,93
(≖_≖ ),,kaomoji,face-neutral-skeptical,suspicious face,"kaomoji, skeptical, suspicious",,,,,,,,,94
(¬_¬),,kaomoji,face-neutral-skeptical,sideglance,"kaomoji, glance",,,,,,,,,95
(ー_ーゞ,,kaomoji,face-neutral-skeptical,scratching head,"kaomoji, think",,,,,,,,,96
(・_・)ノ,,kaomoji,face-neutral-skeptical,waving neutral face,"kaomoji, hello, waving",,,,,,,,,97
(´• ω •`)ﾉ,,kaomoji,face-neutral-skeptical,waving neutral understanding face,"kaomoji, hello, waving",,,,,,,,,98
ε=┌( ･_･)┘,,kaomoji,face-neutral-skeptical,gotta go,"kaomoji, large, run",,,,,,,,,99
ヾ(-_- )ゞ,,kaomoji,face-neutral-skeptical,neutral dance,"kaomoji, dance",,,,,,,,,100
o(_ _)o,,kaomoji,face-neutral-skeptical,bowing,"kaomoji, bow, thankful",,,,,,,,,101
人(_ _*),,kaomoji,face-neutral-skeptical,sorry,"kaomoji, sorry, apologize",,,,,,,,,102
┐(´•_•`)┌,,kaomoji,face-neutral-skeptical,I dunno,"kaomoji, shrug",,,,,,,,,103
¯\_(ツ)_/¯,,kaomoji,face-neutral-skeptical,shrug,"kaomoji, shrug, chill",,,,,,,,,104
┐( ˘_˘)┌,,kaomoji,face-neutral-skeptical,dont care,"kaomoji, shrug, unconcentred, unbothered",,,,,,,,,105
┐(￣ー￣)┌,,kaomoji,face-neutral-skeptical,ok dude,"kaomoji, shrug, unconcentred, unbothered",,,,,,,,,106
┐(￣～￣)┌,,kaomoji,face-neutral-skeptical,so what,"kaomoji, shrug, unconcentred, unbothered",,,,,,,,,107
(⌐■_■),,kaomoji,face-glasses,sunglasses,"kaomoji, glasses, cool",,,,,,,,,108
(╭ರ_•́),,kaomoji,face-glasses,gentleman,"kaomoji, glasses, monocle, cool",,,,,,,,,109
(╭ರ_ ⊙ ),,kaomoji,face-glasses,surprised gentleman,"kaomoji, glasses, monocle, cool, surprise",,,,,,,,,110
(－.－)...zzz,,kaomoji,face-sleepy,sleeping,"kaomoji, large, sleep, tired",,,,,,,,,111
(_ _)。゜zｚＺ,,kaomoji,face-sleepy,sleeping deep,"kaomoji, large, sleep, tired",,,,,,,,,112
( ͡° ͜ʖ ͡°),,kaomoji,face-neutral-skeptical,lenny face,kaomoji,,,,,,,,,113
(ｏ・_・)ノ”(ノ_-、),,kaomoji,face-concerned,its alright,"kaomoji, large, compassion",,,,,,,,,114
₍ᵔ.˛.ᵔ₎,,kaomoji,animal,bear kaomoji,"kaomoji, bear, animal",,,,,,,,,115
₍ᐢ. ̫ .ᐢ₎,,kaomoji,animal,bunny kaomoji,"kaomoji, bunny, animal",,,,,,,,,116
ฅ^•ﻌ•^ฅ,,kaomoji,animal,dog kaomoji,"kaomoji, dog, animal",,,,,,,,,117
ʕ •ᴥ• ʔ,,kaomoji,animal,another bear kaomoji,"kaomoji, bear, animal",,,,,,,,,118
(^._.^),,kaomoji,animal,cat kaomoji,"kaomoji, cat, animal",,,,,,,,,119
,,,,,,,,,,,,,,120
,,,,,,,,,,,,,,121
